ID;Idade;Genero;Escolaridade;Renda_Faixa;Regiao;Plataforma_Principal;Horas_Dia_Media;Dispositivo_Principal;Freq_Uso_Noticias;Confianca_Midia_1a10;Compartilha_Noticias;Assina_Jornal_Digital;Gasto_Mensal_Midia_R$;Satisfacao_Conteudo_1a10;Cluster_Sugerido
1;40;Masculino;Pós-Graduação;Até 2 SM;Norte;Facebook;2.0;Smartphone;Diariamente;4;Não;Sim;131.27;10;Consumidor Moderado
2;33;Masculino;Superior Completo;5-10 SM;Nordeste;Instagram;2.4;Desktop;Nunca;5;Não;Não;54.03;9;Heavy Digital
3;42;Feminino;Pós-Graduação;5-10 SM;Centro-Oeste;Facebook;2.7;Smartphone;Raramente;4;Sim;Não;168.76;10;Info Seeker
4;53;Masculino;Superior Incompleto;2-5 SM;Sudeste;Facebook;2.2;Smartphone;Nunca;6;Sim;Sim;181.58;3;Info Seeker
5;32;Outro;Superior Incompleto;2-5 SM;Norte;Facebook;3.7;Smartphone;Semanalmente;4;Sim;Não;15.43;9;Info Seeker
6;32;Feminino;Superior Completo;Até 2 SM;Sul;TikTok;3.5;Smartphone;Semanalmente;3;Não;Não;0.2;5;Consumidor Moderado
7;53;Masculino;Superior Incompleto;2-5 SM;Centro-Oeste;WhatsApp;2.1;Desktop;Raramente;6;Sim;Não;38.52;5;Consumidor Moderado
8;44;Masculino;Superior Incompleto;2-5 SM;Nordeste;WhatsApp;1.9;Smartphone;Diariamente;4;Sim;Sim;156.68;9;Tradicional
9;29;Feminino;Superior Completo;5-10 SM;Nordeste;Instagram;4.8;Smart TV;Semanalmente;3;Sim;Não;92.57;3;Consumidor Moderado
10;41;Feminino;Pós-Graduação;5-10 SM;Nordeste;Netflix;1.9;Smartphone;Raramente;8;Sim;Não;186.91;9;Heavy Digital
11;29;Masculino;Médio;2-5 SM;Nordeste;TikTok;5.4;Smartphone;Raramente;3;Sim;Não;53.84;4;Consumidor Moderado
12;29;Masculino;Superior Incompleto;Até 2 SM;Norte;WhatsApp;5.4;Notebook;Semanalmente;6;Sim;Sim;186.02;9;Tradicional
13;37;Feminino;Médio;10-20 SM;Sul;TikTok;4.5;Smartphone;Várias vezes ao dia;3;Não;Não;108.21;7;Tradicional
