ID;Idade;Genero;Renda_Mensal_R$;Escolaridade;Estado_Civil;Filhos;Cidade;UF;Canal_Compra_Preferido;Influencia_Decisao;Categoria_Produto_Frequente;Gasto_Medio_Mensal_R$;Freq_Compra_Online_Mes;Usa_Cupom_Desconto;Segue_Influenciadores;Compra_Por_Impulso;Classe_Consumidor
1;34;Feminino;1382;Médio;Solteiro;0;Vila Velha;ES;Redes Sociais;Reviews Online;Viagens;2326.34;10;Sim;Não;Não;Comprador Regular
2;28;Feminino;21239;Superior Completo;Solteiro;0;São Luís;MA;Loja Física;Influenciadores;Alimentos;1501.62;7;Sim;Sim;Sim;Comprador Regular
3;34;Feminino;4758;Médio;Casado;3;Cuiabá;MT;App Mobile;Reviews Online;Viagens;109.27;12;Sim;Sim;Não;Comprador Regular
4;38;Feminino;1370;Superior Completo;Solteiro;0;Cuiabá;MT;Loja Física;Marca;Casa/Decoração;2901.8;8;Sim;Não;Não;Comprador Regular
5;33;Feminino;2173;Superior Incompleto;Casado;1;Rio Verde;GO;E-commerce;Preço;Casa/Decoração;835.73;4;Sim;Sim;Sim;Comprador Regular
6;33;Feminino;18207;Superior Completo;Solteiro;2;Jaraguá do Sul;SC;Redes Sociais;Influenciadores;Saúde;2916.81;12;Sim;Sim;Sim;Comprador Intenso
7;25;Feminino;8438;Médio;Casado;2;Guarulhos;SP;Loja Física;Experiência Anterior;Casa/Decoração;950.13;5;Não;Não;Não;Comprador Regular
8;25;Feminino;5729;Pós-Graduação;Casado;1;Laranjal do Jari;AP;Redes Sociais;Amigos/Família;Viagens;520.42;3;Sim;Não;Não;Comprador Econômico
9;18;Masculino;3139;Superior Incompleto;Divorciado;0;Santarém;PA;Redes Sociais;Reviews Online;Entretenimento;2183.9;2;Não;Sim;Sim;Comprador Regular
10;52;Masculino;1975;Pós-Graduação;Casado;2;Tarauacá;AC;App Mobile;Amigos/Família;Alimentos;1074.87;12;Sim;Sim;Não;Comprador Regular
11;19;Masculino;4698;Pós-Graduação;Casado;0;Campo Grande;MS;Loja Física;Influenciadores;Cosméticos;1420.48;9;Sim;Sim;Não;Comprador Regular
12;25;Masculino;4161;Superior Incompleto;Solteiro;0;Sena Madureira;AC;Loja Física;Marca;Moda;2446.63;6;Sim;Não;Não;Comprador Regular
13;25;Masculino;1936;Médio;Viúvo;0;São Luís;MA;E-commerce;Preço;Esportes;1094.36;17;Não;Não;Não;Comprador Regular
14;42;Feminino;2017;Superior Completo;Solteiro;1;Rio Branco;AC;App Mobile;Influenciadores;Alimentos;1564.86;17;Sim;Sim;Não;Comprador Intenso
15;29;Masculino;3331;Superior Completo;Casado;3;Jaboatão dos Guararapes;PE;Redes Sociais;Amigos/Família;Livros;1237.01;12;Não;Não;Não;Comprador Regular
16;46;Feminino;22858;Pós-Graduação;União Estável;2;Ponta Porã;MS;Loja Física;Reviews Online;Moda;1678.19;15;Não;Sim;Não;Comprador Intenso
17;25;Masculino;8424;Médio;Solteiro;0;Vila Velha;ES;Marketplace;Experiência Anterior;Entretenimento;890.48;9;Não;Sim;Sim;Comprador Regular
18;36;Feminino;12596;Pós-Graduação;Casado;1;Belo Horizonte;MG;App Mobile;Experiência Anterior;Entretenimento;1226.9;11;Sim;Sim;Não;Comprador Regular
19;23;Masculino;48554;Superior Completo;Solteiro;1;Rio Branco;AC;Loja Física;Experiência Anterior;Viagens;2567.03;12;Sim;Não;Não;Comprador Intenso
20;56;Masculino;15033;Superior Completo;Divorciado;2;Feira de Santana;BA;Marketplace;Preço;Esportes;1893.6;13;Não;Sim;Não;Comprador Intenso
21;19;Feminino;10988;Superior Completo;Solteiro;1;Niterói;RJ;E-commerce;Preço;Esportes;1708.01;13;Sim;Não;Não;Comprador Intenso
22;36;Masculino;3447;Médio;Solteiro;3;Campo Grande;MS;Loja Física;Redes Sociais;Alimentos;1755.44;14;Não;Não;Não;Comprador Intenso
23;39;Masculino;16733;Superior Completo;Solteiro;2;Sobral;CE;Marketplace;Reviews Online;Entretenimento;2148.09;12;Sim;Não;Não;Comprador Intenso
24;37;Feminino;2394;Médio;Casado;0;Ponta Porã;MS;Redes Sociais;Experiência Anterior;Esportes;2039.01;2;Sim;Não;Não;Comprador Regular
25;30;Masculino;8388;Médio;Casado;2;Contagem;MG;Marketplace;Reviews Online;Viagens;1266.74;1;Não;Não;Sim;Comprador Regular
26;31;Feminino;2131;Fundamental;Casado;1;Juazeiro do Norte;CE;Loja Física;Reviews Online;Viagens;1168.88;5;Sim;Sim;Sim;Comprador Regular
27;33;Outro;10127;Pós-Graduação;Casado;1;Ilhéus;BA;E-commerce;Amigos/Família;Alimentos;515.96;14;Não;Não;Não;Comprador Regular
28;31;Masculino;11409;Fundamental;Casado;1;Brasília;DF;Marketplace;Reviews Online;Esportes;281.83;9;Não;Sim;Não;Comprador Regular
29;43;Feminino;2770;Médio;Solteiro;0;Ceilândia;DF;E-commerce;Redes Sociais;Casa/Decoração;1552.16;20;Não;Sim;Não;Comprador Intenso
30;57;Masculino;6337;Superior Incompleto;União Estável;0;Caracaraí;RR;Loja Física;Redes Sociais;Casa/Decoração;925.87;3;Não;Não;Sim;Comprador Regular
31;26;Feminino;10693;Fundamental;Casado;2;Cabedelo;PB;Redes Sociais;Amigos/Família;Saúde;1282.4;13;Não;Sim;Não;Comprador Regular
32;18;Feminino;2088;Superior Incompleto;Casado;1;Manaus;AM;E-commerce;Reviews Online;Casa/Decoração;2104.58;12;Sim;Não;Não;Comprador Intenso
33;32;Masculino;1660;Superior Incompleto;Solteiro;0;Macapá;AP;Loja Física;Redes Sociais;Esportes;2880.22;4;Sim;Não;Não;Comprador Regular
34;61;Masculino;5107;Fundamental;Casado;2;Várzea Grande;MT;App Mobile;Experiência Anterior;Livros;1612.52;9;Sim;Não;Sim;Comprador Regular
35;24;Masculino;6149;Superior Incompleto;Casado;2;Campos dos Goytacazes;RJ;Loja Física;Amigos/Família;Cosméticos;2028.36;3;Sim;Não;Não;Comprador Regular
36;51;Masculino;13363;Médio;Divorciado;1;Rio de Janeiro;RJ;Redes Sociais;Experiência Anterior;Alimentos;1475.68;18;Sim;Sim;Não;Comprador Regular
37;51;Masculino;4000;Fundamental;Solteiro;1;Palmeira dos Índios;AL;Marketplace;Propaganda TV;Viagens;1628.71;16;Não;Não;Não;Comprador Intenso
38;26;Masculino;1220;Superior Incompleto;Solteiro;2;Cariacica;ES;Marketplace;Marca;Casa/Decoração;1128.65;17;Sim;Sim;Sim;Comprador Regular
39;39;Masculino;10784;Médio;Casado;1;Luziânia;GO;Redes Sociais;Propaganda TV;Alimentos;2884.05;7;Sim;Não;Não;Comprador Regular
40;50;Masculino;13085;Médio;Casado;2;Pelotas;RS;E-commerce;Experiência Anterior;Casa/Decoração;1324.76;12;Não;Sim;Não;Comprador Regular
41;28;Masculino;1991;Superior Completo;Divorciado;2;Maringá;PR;App Mobile;Marca;Casa/Decoração;2081.52;10;Não;Não;Sim;Comprador Regular
42;30;Feminino;2248;Fundamental;Casado;0;Itacoatiara;AM;Loja Física;Preço;Saúde;385.9;13;Não;Sim;Não;Comprador Regular
43;26;Masculino;6352;Médio;Casado;1;Aparecida de Goiânia;GO;Marketplace;Propaganda TV;Viagens;1320.88;7;Sim;Sim;Não;Comprador Regular
44;21;Masculino;12704;Superior Incompleto;União Estável;1;Ananindeua;PA;Marketplace;Redes Sociais;Alimentos;2695.29;2;Não;Não;Não;Comprador Regular
45;25;Masculino;2201;Fundamental;Solteiro;0;Cuiabá;MT;Redes Sociais;Influenciadores;Eletrônicos;207.78;15;Sim;Não;Sim;Comprador Regular
46;19;Feminino;2995;Superior Completo;Divorciado;2;Cruzeiro do Sul;AC;E-commerce;Amigos/Família;Entretenimento;751.44;18;Sim;Sim;Não;Comprador Regular
47;33;Feminino;1673;Pós-Graduação;Solteiro;3;Paulista;PE;E-commerce;Preço;Alimentos;1582.47;17;Não;Sim;Não;Comprador Intenso
48;24;Feminino;2017;Médio;Divorciado;2;Boa Vista;RR;Redes Sociais;Experiência Anterior;Entretenimento;2449.51;15;Não;Sim;Não;Comprador Intenso
49;35;Feminino;5171;Superior Incompleto;Casado;0;Linhares;ES;App Mobile;Amigos/Família;Viagens;2848.16;9;Sim;Sim;Sim;Comprador Regular
50;18;Feminino;2574;Superior Completo;União Estável;0;Sobral;CE;Redes Sociais;Propaganda TV;Moda;2167.16;11;Sim;Não;Não;Comprador Intenso
51;36;Feminino;2560;Superior Completo;Casado;2;Piripiri;PI;E-commerce;Experiência Anterior;Alimentos;1825.37;10;Não;Sim;Não;Comprador Regular
52;42;Masculino;9309;Médio;Solteiro;0;Petrolina;PE;E-commerce;Amigos/Família;Eletrônicos;399.07;17;Não;Não;Não;Comprador Regular
53;18;Masculino;3260;Superior Completo;Solteiro;1;Macapá;AP;App Mobile;Amigos/Família;Casa/Decoração;803.58;15;Sim;Sim;Não;Comprador Regular
54;37;Masculino;23560;Superior Incompleto;Solteiro;2;São Gonçalo do Amarante;RN;Marketplace;Amigos/Família;Viagens;392.18;10;Sim;Sim;Não;Comprador Regular
55;46;Masculino;2260;Médio;Casado;3;Águas Lindas de Goiás;GO;App Mobile;Experiência Anterior;Cosméticos;2537.73;13;Não;Sim;Não;Comprador Intenso
56;19;Feminino;8178;Médio;Casado;2;Picos;PI;E-commerce;Influenciadores;Cosméticos;651.16;17;Sim;Não;Não;Comprador Regular
57;51;Masculino;2423;Superior Incompleto;Casado;1;Ananindeua;PA;Marketplace;Experiência Anterior;Saúde;1275.12;8;Não;Não;Sim;Comprador Regular
58;37;Feminino;6425;Superior Completo;Divorciado;1;Timon;MA;App Mobile;Marca;Esportes;2053.16;17;Não;Não;Sim;Comprador Intenso
59;25;Feminino;3709;Pós-Graduação;Solteiro;1;Sobral;CE;Redes Sociais;Preço;Alimentos;1234.25;19;Sim;Sim;Não;Comprador Regular
60;32;Feminino;13290;Superior Incompleto;Solteiro;0;Plano Piloto;DF;Loja Física;Redes Sociais;Alimentos;266.65;0;Sim;Sim;Não;Comprador Econômico
61;39;Feminino;18795;Superior Incompleto;Solteiro;1;Corumbá;MS;E-commerce;Amigos/Família;Cosméticos;2013.51;5;Não;Não;Não;Comprador Regular
62;33;Feminino;5414;Superior Completo;Solteiro;2;Aracaju;SE;App Mobile;Experiência Anterior;Saúde;2839.98;10;Sim;Sim;Sim;Comprador Regular
63;38;Masculino;4740;Superior Incompleto;Casado;2;São Bernardo do Campo;SP;Loja Física;Reviews Online;Casa/Decoração;238.66;9;Não;Não;Sim;Comprador Regular
64;22;Masculino;3554;Pós-Graduação;Solteiro;1;Rio Branco;AC;Loja Física;Redes Sociais;Esportes;1989.97;18;Sim;Sim;Não;Comprador Intenso
65;34;Masculino;2450;Fundamental;Solteiro;0;Parintins;AM;E-commerce;Preço;Saúde;2995.09;14;Sim;Não;Não;Comprador Intenso
66;18;Feminino;10821;Superior Completo;Solteiro;0;Santa Rita;PB;App Mobile;Reviews Online;Cosméticos;820.26;6;Não;Não;Não;Comprador Regular
