Pedido_ID;Data_Pedido;Cliente_ID;Cidade;UF;Regiao;Categoria_Produto;Produto;Quantidade;Valor_Unitario_R$;Valor_Total_R$;Canal_Marketing;Desconto_%;Frete_R$;Status_Pedido;Avaliacao_1a5;Tempo_Entrega_Dias;Reclamacao
PED-0001;13/10/2024;CLI-3074;Rio de Janeiro;RN;Nordeste;Casa;Almofada;4;1188,53;4754,12;Influenciador;20;36,46;Cancelado;;;
PED-0002;03/06/2023;CLI-4579;Salvador;GO;Centro-Oeste;Livros;Romance;3;577,31;1731,93;TikTok Ads;25;10,45;Entregue;1;19;Sim
PED-0003;16/09/2024;CLI-7563;Natal;SE;Nordeste;Moda;Calça Jeans;3;2059,35;6178,05;Influenciador;25;39,49;Processando;;;
PED-0004;03/12/2024;CLI-2211;Fortaleza;AM;Norte;Moda;Calça Jeans;5;284,61;1423,05;YouTube Ads;15;43,62;Devolvido;;20;
PED-0005;04/10/2023;CLI-2887;Fortaleza;SP;Sudeste;Moda;Bolsa;2;739,33;1478,66;Orgânico;25;19,55;Em Transporte;;;
PED-0006;17/06/2024;CLI-1099;Aparecida de Goiânia;AC;Norte;Moda;Calça Jeans;1;1739,32;1739,32;YouTube Ads;0;26,54;Em Transporte;;;
PED-0007;01/03/2024;CLI-4418;Fortaleza;ES;Sudeste;Esportes;Garrafa Térmica;5;547,66;2738,30;Google Ads;10;35,27;Processando;;;
PED-0008;26/11/2024;CLI-9075;Recife;PR;Sul;Moda;Relógio;3;1371,09;4113,27;TikTok Ads;30;5,75;Processando;;;
PED-0009;14/10/2024;CLI-9589;Fortaleza;MS;Centro-Oeste;Beleza;Hidratante;1;2456,85;2456,85;Google Ads;30;33,96;Cancelado;;;
PED-0010;01/01/2024;CLI-9424;Guarulhos;SP;Sudeste;Moda;Camiseta;4;538,28;2153,12;Facebook Ads;5;25,65;Processando;;;
PED-0011;01/09/2024;CLI-2842;Santos;SP;Sudeste;Esportes;Bola;3;2004,11;6012,33;TikTok Ads;10;37,19;Cancelado;;;
PED-0012;24/01/2023;CLI-9853;Ribeirão Preto;TO;Norte;Casa;Quadro;1;735,95;735,95;Facebook Ads;25;0,46;Processando;;;
PED-0013;05/03/2023;CLI-2840;Niterói;MG;Sudeste;Alimentos;Cesta Orgânica;3;3129,34;9388,02;Google Ads;20;20,22;Em Transporte;;;
PED-0014;16/09/2023;CLI-6365;Vitória;MT;Centro-Oeste;Beleza;Shampoo;1;2391,53;2391,53;Google Ads;15;7,67;Processando;;;
PED-0015;07/01/2024;CLI-7508;Florianópolis;PI;Nordeste;Livros;Romance;2;3097,13;6194,26;YouTube Ads;5;24,48;Cancelado;;;
PED-0016;30/12/2023;CLI-9593;Brasília;MA;Nordeste;Beleza;Perfume;2;686,54;1373,08;Orgânico;20;30,43;Processando;;;
PED-0017;05/08/2024;CLI-3550;Uberlândia;GO;Centro-Oeste;Alimentos;Cesta Orgânica;2;2342,46;4684,92;TikTok Ads;30;26,69;Cancelado;;;
PED-0018;04/12/2023;CLI-8313;Santos;AC;Norte;Livros;Autoajuda;4;1942,30;7769,20;Facebook Ads;30;19,40;Processando;;;
PED-0019;09/01/2023;CLI-3503;Porto Velho;GO;Centro-Oeste;Eletrônicos;Tablet;2;344,87;689,74;Orgânico;20;32,66;Processando;;;
PED-0020;02/11/2024;CLI-1609;Niterói;GO;Centro-Oeste;Livros;Autoajuda;5;1505,87;7529,35;Facebook Ads;30;31,94;Processando;;;
PED-0021;29/04/2024;CLI-9668;Ribeirão Preto;RS;Sul;Casa;Almofada;3;408,53;1225,59;TikTok Ads;0;39,48;Cancelado;;;
PED-0022;02/06/2024;CLI-7363;Salvador;MT;Centro-Oeste;Eletrônicos;Fone Bluetooth;3;1772,82;5318,46;Orgânico;30;28,91;Entregue;2;6;Não
PED-0023;28/04/2023;CLI-6481;Joinville;MT;Centro-Oeste;Beleza;Shampoo;1;3157,51;3157,51;Facebook Ads;20;26,98;Processando;;;
PED-0024;04/10/2023;CLI-2014;Manaus;PE;Nordeste;Moda;Camiseta;3;362,47;1087,41;Facebook Ads;0;29,95;Processando;;;
PED-0025;15/11/2024;CLI-3791;Maringá;DF;Centro-Oeste;Alimentos;Chocolate;3;1965,84;5897,52;Google Ads;15;0,88;Processando;;;
PED-0026;27/07/2023;CLI-5071;Londrina;DF;Centro-Oeste;Casa;Vaso Decorativo;1;1951,68;1951,68;Google Ads;5;26,78;Em Transporte;;;
PED-0027;26/07/2023;CLI-9782;Juiz de Fora;MS;Centro-Oeste;Alimentos;Kit Fitness;4;1476,80;5907,20;Orgânico;25;37,48;Entregue;2;23;Não
PED-0028;11/08/2023;CLI-7223;Vitória;PE;Nordeste;Eletrônicos;Smartphone;1;2251,95;2251,95;Orgânico;0;20,34;Cancelado;;;
PED-0029;18/07/2024;CLI-6066;Fortaleza;PA;Norte;Livros;Romance;1;1525,78;1525,78;E-mail Marketing;10;5,08;Devolvido;;8;
PED-0030;20/08/2023;CLI-1788;Ribeirão Preto;MG;Sudeste;Beleza;Shampoo;4;1733,56;6934,24;Google Ads;15;40,96;Cancelado;;;
PED-0031;31/10/2024;CLI-2994;Aparecida de Goiânia;RJ;Sudeste;Livros;Não-Ficção;5;199,51;997,55;Google Ads;25;43,06;Cancelado;;;
